registration number,registration date,application number,application date,authors,authors count,right holders,contact to third parties,microchip name,first usage countries,first usage date,right holder on first usage date,expiration date,registration publish date,registration publish number,actual,publication URL
2007630006,20070213,2006630031,20061219,"Волков Игорь Николаевич (RU)
Дик Павел Аркадьевич (RU)
Кучерский Владимир Романович (RU)
Машкова Вера Семеновна (RU)",4,Открытое акционерное общество «Научно-производственное предприятие «Пульсар» (RU),,«ИМС быстродействующего сдвоенного компаратора с дифференциальным входом 1481СА3Т» (ИМС 1481СА3Т),,,,,20070620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2007630006
2007630013,20070314,2007630001,20070116,"Володин Виталий Александрович (RU)
Володин Павел Витальевич (RU)
Шумков Илья Евгеньевич (RU)",3,Открытое акционерное общество «Научно-производственное предприятие «Пульсар» (RU),,«Интегральная микросхема преобразователей уровня напряжения для матричных ФПЗС 1286ПУЗТ» (ИМС 1286ПУЗТ),,,,,20070620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2007630013
2007630016,20070328,2007630003,20070206,"Володин Виталий Александрович (RU)
Шумков Илья Евгеньевич (RU)",2,Открытое акционерное общество «Научно-производственное предприятие «Пульсар» (RU),,«Интегральная микросхема перестраиваемого синхрогенератора управления матричными ФПЗС 1286ПУ2У» (ИМС 1286ПУ2У),,,,,20070620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2007630016
2007630030,20070718,2007630015,20070529,"Виноградов Роман Николаевич (RU)
Корнеев Сергей Викторович (RU)
Ксенофонтов Дмитрий Леонидович (RU)
Савченко Евгений Матвеевич (RU)",4,"Открытое акционерное общество ""Научно-производственное предприятие ""Пульсар"" (RU)",,«Быстродействующий операционный усилитель с токовой обратной связью с отключаемым выходом 1432УД10» (ИМС 1432УД10),,,,,20071220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2007630030
2007630054,20071114,2007630040,20070920,"Володин Виталий Александрович (RU)
Шумков Илья Евгеньевич (RU)",2,"Открытое акционерное общество ""Научно-производственное предприятие ""Пульсар"" (RU)",,«Интегральная микросхема перестраиваемого синхрогенератора управления линейными ФПЗС 1286ПУ1У» (ИМС 1286ПУ1У),,,,,20080330,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2007630054
2007630055,20071126,2007630045,20071113,"Заболотнов Игорь Вячеславович (RU)
Бобриков Александр Владимирович (RU)",2,Общество с ограниченной ответственностью «Группа «Ангстрем» (RU),,Кристалл электронного документа,,,,,20080320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2007630055
2008630001,20080109,2007630041,20071023,"Волков Игорь Николаевич (RU)
Дик Павел Аркадьевич (RU)
Кучерский Владимир Романович (RU)
Машкова Вера Семеновна (RU)",4,"Открытое акционерное общество ""Научно-производственное предприятие ""Пульсар"" (RU)",,«ИМС быстродействующего компаратора напряжения с дифференциальным выходом 1481СА4Р» (ИМС 1481СА4Р),,,,,20080620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2008630001
2008630022,20080317,2008630010,20080131,"Акимов Владимир Михайлович (RU)
Васильева Лариса Александровна (RU)
Климанов Евгений Алексеевич (RU)",3,"Российская Федерация, от имени которой выступает Министерство промышленности и торговли Российской Федерации (RU)",,Усовершенствованная микросхема охлаждаемого матричного МОП мультиплексора формата 384x288.,,,,,20080620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2008630022
2008630027,20080328,2008630015,20080318,"Бобриков Александр Владимирович (RU)
Парфененко Александр Сергеевич (RU)
Бобриков Сергей Александрович (RU)",3,Общество с ограниченной ответственностью «Группа «Ангстрем» (RU),,Кристалл ассоциативной памяти,,,,,20080620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2008630027
2008630031,20080520,2008630017,20080408,"Виноградов Роман Николаевич (RU)
Корнеев Сергей Викторович (RU)
Ксенофонтов Дмитрий Леонидович (RU)
Савченко Евгений Матвеевич (RU)",4,Открытое акционерное общество «Научно-производственное предприятие «Пульсар» (RU),,«Усилитель сигнала ошибки 1432УП3» (ИМС 1432УП3),,,,,20080920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2008630031
2008630053,20081015,2008630043,20080828,"Антипов Виктор Иванович (RU)
Киселев Николай Николаевич (RU)
Потапов Андрей Леонидович (RU)
Яшанин Игорь Борисович (RU)",4,Федеральное государственное унитарное предприятие «Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики» (ФГУП «РФЯЦ-ВНИИЭФ») (RU),,Базовый матричный кристалл 5511БЦ1У,,,,,20090320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2008630053
2008630054,20081021,2008630044,20080902,"Виноградов Роман Николаевич (RU)
Корнеев Сергей Викторович (RU)
Ксенофонтов Дмитрий Леонидович (RU)
Савченко Евгений Матвеевич (RU)",4,Открытое акционерное общество «Научно-производственное предприятие «Пульсар» (RU),,«Измеритель разности фаз 1313ДФ1» (ИМС 1313ДФ1),,,,,20090320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2008630054
2009630008,20090226,2008630060,20081230,"Дик Павел Аркадьевич (RU)
Кучерский Владимир Романович (RU)
Калинина Татьяна Митрофановна (RU)
Машкова Вера Семеновна (RU)",4,Открытое акционерное общество «Научно-производственное предприятие «Пульсар» (RU),,«ИМС двухканальной схемы управления коммутаторами СВЧ - сигналов» (ИМС 1312АП1Т),,,,,20090620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2009630008
2009630033,20090907,2009630024,20090713,"Баринов Илья Николаевич (RU)
Мишанин Александр Евгеньевич (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Термокомпенсационный измерительный преобразователь-27,,,,,20091220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2009630033
2009630034,20090907,2009630025,20090713,"Баринов Илья Николаевич (RU)
Мишанин Александр Евгеньевич (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Термокомпенсационный измерительный преобразователь-26,,,,,20091220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2009630034
2009630035,20090907,2009630026,20090713,"Баринов Илья Николаевич (RU)
Мишанин Александр Евгеньевич (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Термокомпенсационный измерительный преобразователь-25,,,,,20091220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2009630035
